"CompoundID,""MACCSKeysFingerprints""";;;;;
"Cmpd1,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000000000000011001000111000011100110011000101000111000011011110010110110001110101010111011011111110101110"""
"Cmpd2,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100000000000000000000000011001000101000011100110011000101000111000011011110010110110001110101010111011011111110101110"""
"Cmpd3,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000000000000011001000101000010100110011000101011111000011011110010110110001110111010111111011111111101110"""
"Cmpd4,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100100000000100000000010001100010000000000000000000011001000111000011100110010000111000111000011011110110110110011110101011111011011111110101110"""
"Cmpd5,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100100000000100000000010001100010000000000000000000011001000101000010100110010000111001111000011011110110100110011110101011111011011111110101110"""
"Cmpd6,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100010000000000010000000011001000111000011100110010000111000111000011011110010110110001110101011111011011111110101110"""
"Cmpd7,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000100000000000100000000000001100000000000000010000000011001000101000011100110011000111000111000011011110010110110001110101011111011011111110101110"""
"Cmpd8,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000000000010000000000010000000010001000111000011100110000000110000111000011011110000110110001110101000111011011111110101110"""
"Cmpd9,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000011001000111000010100110010000110000111000011011110000110110001100101011111011001111110101110"""
"Cmpd10,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001100010000000000010000000011001000111000010100110010000110000111000011011110000110110001100101011111011001111110101110"""
"Cmpd11,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000001000000101000000000101001000000000000000000000011101110101001100001111111000011000111000010011111001101100001110101100101010011111110101110"""
"Cmpd12,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001001000000000000010000000000000010000001010101101101000010000111000011011111001111110001110101101111010011111110101110"""
"Cmpd13,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000100000000000001001000000000000010000000000000110100001101101111101000110010111001111011111001111100001110111100111110011111111101110"""
"Cmpd14,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100000000000000010000000011000010101001010100110010000010010111001010011110000000100011110111010101110011111111101110"""
"Cmpd15,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000000000000110000000000101100000000000100000000000011000010101001000100111010000100000111100011011110011100110001111101110111010111111110101110"""
"Cmpd16,""FingerprintsBitVector";MACCSKeyBits;166;BinaryString;Ascending;"0000000000000000000000000100000000100000000010001100000000000000100000000001000000101000011100110110000010000111100011011110011100110001101101110111010101111110101110"""
